标题长度	链接	视频	图片	艾特	时间	话题	星期	min_min 	min_max	min_mean	max_min	max_max	max_mean	mean_min	mean_max	mean_mean	popular
19	0	0	0	0	476	0	6	201	7601	1228	201	104171	3255	147	37189	2347	0
19	0	0	1	0	766	1	5	187	6484	1794	1058	9702	3385	527	6708	3239	1
16	0	0	4	0	734	1	5	294	2391	1067	699	11925	5033	223	15900	1958	1
22	0	0	9	0	728	0	5	216	1978	884	169	13467	4729	1039	6359	3377	1
11	0	0	6	0	703	0	5	154	2935	978	712	140765	15535	90	268284	5747	1
29	0	0	2	0	685	0	5	351	351	351	5109	5109	5109	662	662	662	0
13	0	0	4	0	661	0	5	420	420	420	698	12664	4864	551	7577	1782	0
22	0	0	2	1	610	0	5	305	883	481	180	26198	2815	333	3281	1209	0
13	0	0	1	0	585	0	5	113	1313	619	162	27756	2333	65	9538	1799	0
15	0	0	1	0	557	0	5	1209	1209	1209	515	26148	5030	662	4397	1880	1
33	1	0	1	0	545	1	5	311	311	311	106	268284	4215	1741	2073	1907	0
21	0	0	1	0	530	0	5	412	1027	750	4020	4020	4020	162	31164	2115	0
18	0	0	6	0	512	0	5	287	287	287	6344	9017	7680	288	9017	2949	1
12	0	0	9	0	859	0	4	52	50105	4380	752	268284	25728	90	268284	5747	1
24	0	0	9	0	827	0	4	340	1517	862	294	34265	8241	329	34265	3570	0
9	0	0	2	0	810	1	4	554	40832	6185	554	40832	6185	554	40832	6185	0
21	0	0	1	0	781	0	4	331	1225	741	727	15074	5529	196	11355	2055	0
14	0	0	7	0	773	0	4	663	1265	964	272	10893	2510	295	40260	2092	0
20	0	0	9	0	742	0	4	249	26335	2100	252	104171	5771	211	40260	4603	1
10	1	0	2	0	720	1	4	396	1205	800	244	12118	3832	244	12118	3832	1
22	0	0	1	0	658	0	4	556	841	724	1035	63557	8991	320	15155	3203	0
9	0	0	9	0	644	0	4	341	929	601	237	50105	2612	507	822	664	0
25	0	0	9	0	602	0	4	249	26335	2100	752	268284	25728	568	10266	4648	1
11	0	0	9	0	571	1	4	237	50105	2612	388	18440	3209	388	18440	3209	1
30	0	0	1	0	540	0	4	698	698	698	492	24246	6908	305	15074	1969	1
24	0	0	1	0	534	0	4	730	730	730	599	26198	6395	151	26247	1679	0
14	0	0	2	0	898	0	3	474	5238	2856	6495	6495	6495	6495	6495	6495	1
19	0	0	9	0	870	0	3	1813	1813	1813	50105	50105	50105	257	50105	8437	1
24	1	0	1	0	842	1	3	613	613	613	264	9038	2396	1306	1306	1306	1
21	0	0	1	0	831	1	3	262	651	498	52	268284	3746	278	3009	1001	0
30	1	0	1	0	807	1	3	262	651	498	106	268284	4215	278	3009	1001	0
12	0	0	9	0	780	1	3	617	1415	1016	812	3118	1893	812	3118	1893	0
14	0	0	9	0	756	0	3	361	1265	751	573	20383	5388	218	21436	2086	0
11	0	0	0	0	720	1	3	1192	1192	1192	348	8372	2664	644	3802	2223	0
15	0	0	1	0	697	1	3	321	2351	933	155	268284	2710	196	5489	1152	0
28	0	0	1	0	692	1	3	314	3172	958	90	50971	7175	200	7582	1926	0
15	0	0	1	0	681	1	3	237	237	237	63	35427	2107	1741	2073	1907	0
24	0	0	1	0	679	1	3	237	417	315	237	25100	3167	1741	2073	1907	0
20	0	0	1	0	674	1	3	321	2351	933	106	100712	1955	312	1940	1129	1
17	0	0	1	0	663	1	3	321	2351	933	126	63557	3604	654	2410	1361	0
26	0	0	1	0	997	0	2	587	1755	1042	3758	268284	50674	142	268284	3428	0
16	1	0	1	0	976	1	2	343	1553	862	714	8129	2970	308	5034	1429	1
13	0	0	2	0	970	0	2	246	1818	678	707	11759	3952	218	6951	1118	0
12	0	0	2	0	963	0	2	246	1818	678	152	7368	781	152	4246	754	0
14	0	0	2	0	953	0	2	215	643	429	152	7368	781	246	1818	678	0
20	0	0	4	0	949	0	2	423	423	423	292	100712	2615	163	6990	1230	0
19	0	0	4	0	927	0	2	436	436	436	155	268284	2710	152	7368	781	0
15	0	0	6	0	903	0	2	788	3382	1573	894	23474	8108	1226	10421	3924	1
22	0	0	9	0	869	0	2	198	1035	587	237	50105	2612	154	3634	872	1
14	0	0	2	0	840	0	2	2532	2532	2532	1335	140765	16123	602	36410	3684	1
17	0	0	1	0	802	0	2	190	6495	2459	1337	34170	10370	2870	13443	6561	1
19	0	0	6	0	769	0	2	278	278	278	359	6703	2363	278	3021	667	0
17	0	0	4	0	750	0	2	152	7368	781	178	48620	3152	163	8831	1247	0
13	0	0	6	0	744	0	2	1196	3971	2157	316	19435	6669	52	50105	4380	1
16	0	0	4	0	712	0	2	634	634	634	634	7489	3286	558	3971	1721	0
19	0	0	1	0	992	0	1	365	532	465	365	7575	2824	278	5008	1570	0
18	0	0	9	0	980	0	1	218	3099	1129	306	40832	3493	212	19461	2289	1
17	0	1	0	0	951	0	1	389	947	661	329	34265	3570	586	1179	862	0
9	1	0	1	0	931	1	1	159	4338	814	1741	2073	1907	278	2029	1153	0
20	0	0	1	0	922	0	1	287	545	416	287	14414	2223	287	2786	926	0
19	0	0	9	0	880	0	1	559	6214	2123	1570	6214	3961	297	17453	3150	1
11	0	0	9	0	851	0	1	905	6703	1829	403	11290	2638	816	6703	2011	1
36	1	0	1	0	829	0	1	365	365	365	113	268284	3615	515	2513	1514	0
9	0	1	0	0	807	0	1	321	2351	933	298	40260	4364	152	5421	1203	0
